temperature_K,axis,wavelength_um,n,k
100,a,4.75,1.5792,0.00011368227
100,a,4.76,1.5788,0.00012610351
100,a,4.77,1.5783,0.00014171903
100,a,4.78,1.5779,0.00016
100,a,4.79,1.5775,0.000185
100,a,4.8,1.577,0.00025
100,a,4.81,1.5766,0.00033
100,a,4.82,1.5762,0.00043
100,a,4.83,1.5757,0.00055
100,a,4.84,1.5753,0.0007
100,a,4.85,1.5748,0.00085
100,a,4.86,1.5744,0.001
100,a,4.87,1.574,0.00118
100,a,4.88,1.5735,0.00138
100,a,4.89,1.5731,0.0015454669
100,a,4.9,1.5726,0.0016418259
100,a,4.91,1.5722,0.0017108513
100,a,4.92,1.5717,0.0017556389
100,a,4.93,1.5713,0.0017903027
100,a,4.94,1.5708,0.0018105041
100,a,4.95,1.5703,0.0018255158
100,a,4.96,1.5699,0.001826057
100,a,4.97,1.5694,0.0018048335
100,a,4.98,1.5689,0.0018009105
100,a,4.99,1.5685,0.0017976436
100,a,5.0,1.568,0.0018025579
100,a,5.01,1.5675,0.0018040679
100,a,5.02,1.5671,0.0018251904
100,a,5.03,1.5666,0.0018199869
100,a,5.04,1.5661,0.0018453228
100,a,5.05,1.5657,0.0018796299
100,a,5.06,1.5652,0.0018997115
100,a,5.07,1.5647,0.0018955886
100,a,5.08,1.5642,0.001916402
100,a,5.09,1.5637,0.0019328253
100,a,5.1,1.5632,0.0019078958
100,a,5.11,1.5628,0.0019083314
100,a,5.12,1.5623,0.0019291468
100,a,5.13,1.5618,0.0019449437
100,a,5.14,1.5613,0.0019657582
100,a,5.15,1.5608,0.0019976808
100,a,5.16,1.5603,0.0020403298
100,a,5.17,1.5598,0.0020819061
100,a,5.18,1.5593,0.0021362832
100,a,5.19,1.5588,0.0021816473
100,a,5.2,1.5583,0.0022410201
100,a,5.21,1.5578,0.0022960659
100,a,5.22,1.5573,0.0023115669
100,a,5.23,1.5567,0.0023474966
100,a,5.24,1.5562,0.0023426238
100,a,5.25,1.5557,0.0024065956
100,a,5.26,1.5552,0.0023582545
100,a,5.27,1.5547,0.0023669531
100,a,5.28,1.5542,0.002364136
100,a,5.29,1.5536,0.0024627104
100,a,5.3,1.5531,0.0024602856
100,a,5.31,1.5526,0.002439303
100,a,5.32,1.5521,0.0025670643
100,a,5.33,1.5515,0.0027228895
100,a,5.34,1.551,0.0027681144
100,a,5.35,1.5505,0.0028210965
100,a,5.36,1.5499,0.0029240646
100,a,5.37,1.5494,0.0030243309
100,a,5.38,1.5488,0.0030782404
100,a,5.39,1.5483,0.0029719495
100,a,5.4,1.5477,0.002947663
100,a,5.41,1.5472,0.0029348635
100,a,5.42,1.5466,0.0027672532
100,a,5.43,1.5461,0.0027553694
100,a,5.44,1.5455,0.0027488089
100,a,5.45,1.545,0.0026225645
100,a,5.46,1.5444,0.0026186833
100,a,5.47,1.5439,0.0026567862
100,a,5.48,1.5433,0.0026663665
100,a,5.49,1.5427,0.0026455605
100,a,5.5,1.5421,0.0027685972
100,a,5.51,1.5416,0.0027775932
100,a,5.52,1.541,0.0028288655
100,a,5.53,1.5404,0.0028764451
100,a,5.54,1.5398,0.0028495718
100,a,5.55,1.5393,0.0028883035
100,a,5.56,1.5387,0.0029068902
100,a,5.57,1.5381,0.0029277143
100,a,5.58,1.5375,0.0029077058
100,a,5.59,1.5369,0.0029058432
100,a,5.6,1.5363,0.0028425847
100,a,5.61,1.5357,0.0028233698
100,a,5.62,1.5351,0.0028537948
100,a,5.63,1.5345,0.0028332435
100,a,5.64,1.5339,0.0027957219
100,a,5.65,1.5333,0.0027687614
100,a,5.66,1.5327,0.0027403391
100,a,5.67,1.5321,0.0027261658
100,a,5.68,1.5315,0.0026909169
