time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP
38462402.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38475025.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38487648.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38500272.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38512895.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38525518.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38538141.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38550764.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38563387.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38576010.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38588633.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38601256.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38613879.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38626502.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38639125.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38651748.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38664371.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38676994.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38689617.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38702240.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38714863.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38727486.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38740109.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38752732.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38765355.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38777978.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38790601.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38803224.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38815848.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38828471.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38841094.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38853717.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38866340.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38878963.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38891586.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38904209.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38916832.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38929455.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38942078.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38954701.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38967324.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38979947.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38992570.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39005193.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39017816.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39030439.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39043062.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39055685.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39068308.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39080931.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39093554.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39106177.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39118800.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39131424.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39144047.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39156670.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39169293.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39181916.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39194539.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39207162.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39219785.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39232408.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39245031.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39257654.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39270277.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39282900.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39295523.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39308146.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39320769.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39333392.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39346015.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39358638.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
